I-1A01,WBGene00000227
II-4L13,WBGene00017439
II-4L14,WBGene00019410
II-4L15,WBGene00017440
II-4L16,WBGene00019411
II-4L17,WBGene00017441
II-4L18,WBGene00022874
II-4L19,WBGene00017442
II-4L21,WBGene00016210
II-4L23,WBGene00016211
II-4M01,WBGene00003822
II-4M02,WBGene00018959
II-4M03,WBGene00019084
II-4M04,WBGene00018960
II-4M05,WBGene00019085
II-4M06,WBGene00018961
II-4M07,WBGene00019086
II-4M08,WBGene00000548
II-4M09,WBGene00019087
II-4M10,WBGene00000935
II-4M11,WBGene00004382
II-4M11,WBGene00044664
II-4M12,WBGene00023407
II-4M13,WBGene00020866
II-4M15,WBGene00018014
II-4M17,WBGene00018015
II-4M19,WBGene00018016
II-4M20,WBGene00017393
II-4M21,WBGene00018017
II-4M22,WBGene00017394
II-4M23,WBGene00018018
II-4M24,WBGene00017395
II-4N01,WBGene00016212
II-4N02,WBGene00022876
II-4N03,WBGene00003403
II-4N04,WBGene00003457
II-4N05,WBGene00016213
II-4N06,WBGene00022877
II-4N08,WBGene00022877
II-4N09,WBGene00016215
II-4N09,WBGene00044589
II-4N10,WBGene00022880
II-4N11,WBGene00016310
II-4N12,WBGene00022881
II-4N13,WBGene00004860
II-4N14,WBGene00022882
II-4N15,WBGene00016311
II-4N16,WBGene00022882
II-4N17,WBGene00016312
II-4N18,WBGene00001509
II-4N19,WBGene00016313
II-4N20,WBGene00022883
II-4N21,WBGene00016314
II-4N22,WBGene00002268
II-4N23,WBGene00016315
II-4N24,WBGene00022884
II-4O02,WBGene00017390
II-4O02,WBGene00017396
II-4O03,WBGene00004434
II-4O04,WBGene00017397
II-4O05,WBGene00002068
II-4O06,WBGene00022669
II-4O07,WBGene00206373
II-4O08,WBGene00022670
II-4O09,WBGene00016153
II-4O10,WBGene00022671
II-4O11,WBGene00001102
II-4O12,WBGene00022672
II-4O14,WBGene00000375
II-4O15,WBGene00017279
II-4O16,WBGene00001511
II-4O18,WBGene00001511
II-4O19,WBGene00017278
II-4O20,WBGene00022673
II-4O21,WBGene00003462
II-4O22,WBGene00022674
II-4O23,WBGene00019022
II-4O24,WBGene00006554
II-4P01,WBGene00016316
II-4P02,WBGene00019268
II-4P03,WBGene00002980
II-4P04,WBGene00019269
II-4P05,WBGene00016317
II-4P06,WBGene00019270
II-4P07,WBGene00016318
II-4P08,WBGene00018869
II-4P09,WBGene00016319
II-4P10,WBGene00018870
II-4P11,WBGene00003009
II-4P13,WBGene00019605
II-4P14,WBGene00018871
II-4P15,WBGene00019606
II-4P16,WBGene00018872
II-4P17,WBGene00019607
II-4P18,WBGene00018873
II-4P19,WBGene00019608
II-4P20,WBGene00019127
II-4P21,WBGene00019061
II-4P22,WBGene00006644
II-4P23,WBGene00019062
II-4P23,WBGene00044756
II-4P24,WBGene00006933
II-5A01,WBGene00019063
II-5A02,WBGene00020478
II-5A03,WBGene00020802
II-5A04,WBGene00020479
II-5A05,WBGene00020800
II-5A06,WBGene00020481
II-5A07,WBGene00004996
II-5A08,WBGene00017953
II-5A09,WBGene00020801
II-5A10,WBGene00004921
II-5A11,WBGene00019371
II-5A12,WBGene00006380
II-5A13,WBGene00000651
II-5A15,WBGene00019372
II-5A16,WBGene00017955
II-5A17,WBGene00019424
II-5A19,WBGene00019425
II-5A20,WBGene00015410
II-5A21,WBGene00019426
II-5A22,WBGene00001194
II-5A23,WBGene00003621
II-5A24,WBGene00001194
II-5B01,WBGene00001594
II-5B02,WBGene00019943
II-5B02,WBGene00043050
II-5B03,WBGene00005136
II-5B04,WBGene00019944
II-5B05,WBGene00017122
II-5B06,WBGene00020114
II-5B07,WBGene00017123
II-5B08,WBGene00020114
II-5B09,WBGene00017124
II-5B10,WBGene00017545
II-5B11,WBGene00017125
II-5B12,WBGene00003012
II-5B13,WBGene00017126
II-5B14,WBGene00003044
II-5B15,WBGene00000971
II-5B16,WBGene00003045
II-5B17,WBGene00017127
II-5B17,WBGene00017131
II-5B18,WBGene00017546
II-5B19,WBGene00017128
II-5B20,WBGene00017547
II-5B21,WBGene00017129
II-5B22,WBGene00017548
II-5B23,WBGene00000530
II-5B24,WBGene00005149
II-5C01,WBGene00019427
II-5C02,WBGene00001023
II-5C03,WBGene00019428
II-5C04,WBGene00016623
II-5C04,WBGene00016624
II-5C05,WBGene00020894
II-5C07,WBGene00004702
II-5C08,WBGene00016625
II-5C09,WBGene00020895
II-5C10,WBGene00016626
II-5C11,WBGene00020896
II-5C12,WBGene00016627
II-5C13,WBGene00019428
II-5C15,WBGene00020897
II-5C16,WBGene00016629
II-5C17,WBGene00020898
II-5C19,WBGene00004916
II-5C20,WBGene00004059
II-5C21,WBGene00020899
II-5C22,WBGene00016632
II-5C24,WBGene00016631
II-5D01,WBGene00017130
II-5D02,WBGene00015203
II-5D03,WBGene00005135
II-5D04,WBGene00003730
II-5D05,WBGene00005134
II-5D06,WBGene00015204
II-5D07,WBGene00017967
II-5D08,WBGene00015205
II-5D09,WBGene00017968
II-5D10,WBGene00015206
II-5D11,WBGene00017969
II-5D12,WBGene00015207
II-5D13,WBGene00017970
II-5D14,WBGene00015208
II-5D15,WBGene00000169
II-5D16,WBGene00007044
II-5D17,WBGene00004198
II-5D19,WBGene00003078
II-5D19,WBGene00017967
II-5D20,WBGene00015061
II-5D21,WBGene00016273
II-5D22,WBGene00015061
II-5D23,WBGene00016274
II-5D24,WBGene00015061
II-5E01,WBGene00019905
II-5E02,WBGene00015087
II-5E03,WBGene00019904
II-5E05,WBGene00019903
II-5E06,WBGene00015088
II-5E07,WBGene00019906
II-5E09,WBGene00195085
II-5E10,WBGene00015089
II-5E12,WBGene00017700
II-5E13,WBGene00016971
II-5E15,WBGene00016972
II-5E16,WBGene00017699
II-5E17,WBGene00016973
II-5E18,WBGene00017699
II-5E19,WBGene00016974
II-5E20,WBGene00017700
II-5E21,WBGene00005053
II-5E22,WBGene00017701
II-5E23,WBGene00006944
II-5E24,WBGene00017702
II-5F01,WBGene00016275
II-5F02,WBGene00015062
II-5F03,WBGene00016276
II-5F04,WBGene00015063
II-5F06,WBGene00015064
II-5F07,WBGene00016277
II-5F09,WBGene00004244
II-5F10,WBGene00015066
II-5F11,WBGene00018474
II-5F12,WBGene00015512
II-5F13,WBGene00000271
II-5F14,WBGene00015513
II-5F15,WBGene00000839
II-5F16,WBGene00015514
II-5F17,WBGene00018475
II-5F18,WBGene00004823
II-5F19,WBGene00018474
II-5F19,WBGene00018475
II-5F20,WBGene00015515
II-5F21,WBGene00018476
II-5F22,WBGene00015516
II-5F23,WBGene00003620
II-5F24,WBGene00005262
II-5G01,WBGene00007050
II-5G02,WBGene00015797
II-5G03,WBGene00017559
II-5G04,WBGene00004930
II-5G06,WBGene00000198
II-5G07,WBGene00005054
II-5G08,WBGene00015796
II-5G10,WBGene00004090
II-5G11,WBGene00005055
II-5G12,WBGene00006605
II-5G13,WBGene00016960
II-5G14,WBGene00015795
II-5G15,WBGene00016960
II-5G16,WBGene00015795
II-5G17,WBGene00016961
II-5G19,WBGene00016962
II-5G20,WBGene00006831
II-5G21,WBGene00005057
II-5G22,WBGene00005025
II-5G23,WBGene00016963
II-5G24,WBGene00016889
II-5H01,WBGene00017662
II-5H02,WBGene00015517
II-5H03,WBGene00017663
II-5H04,WBGene00001615
II-5H05,WBGene00017664
II-5H06,WBGene00001615
II-5H07,WBGene00018390
II-5H08,WBGene00000516
II-5H10,WBGene00000517
II-5H11,WBGene00018392
II-5H12,WBGene00011458
II-5H13,WBGene00001812
II-5H15,WBGene00018393
II-5H16,WBGene00023408
II-5H17,WBGene00018397
II-5H18,WBGene00002216
II-5H19,WBGene00018395
II-5H20,WBGene00000046
II-5H21,WBGene00002008
II-5H22,WBGene00000046
II-5H22,WBGene00011633
II-5H23,WBGene00018396
II-5H24,WBGene00011634
II-5I01,WBGene00016964
II-5I02,WBGene00016889
II-5I03,WBGene00002045
II-5I04,WBGene00001872
II-5I04,WBGene00003784
II-5I05,WBGene00016965
II-5I06,WBGene00022849
II-5I07,WBGene00016966
II-5I08,WBGene00022850
II-5I09,WBGene00001026
II-5I10,WBGene00022851
II-5I11,WBGene00016968
II-5I12,WBGene00022852
II-5I13,WBGene00018839
II-5I14,WBGene00022855
II-5I15,WBGene00018840
II-5I16,WBGene00022854
II-5I18,WBGene00022854
II-5I19,WBGene00018841
II-5I20,WBGene00022855
II-5I21,WBGene00020576
II-5I22,WBGene00022856
II-5I23,WBGene00020577
II-5I24,WBGene00001872
II-5J02,WBGene00007014
II-5J03,WBGene00019288
II-5J04,WBGene00011635
II-5J05,WBGene00005133
II-5J06,WBGene00011636
II-5J07,WBGene00019289
II-5J08,WBGene00011637
II-5J10,WBGene00002994
II-5J11,WBGene00019290
II-5J12,WBGene00011638
II-5J14,WBGene00011639
II-5J16,WBGene00006913
II-5J17,WBGene00021187
II-5J18,WBGene00011348
II-5J19,WBGene00006703
II-5J20,WBGene00011349
II-5J21,WBGene00017021
II-5J22,WBGene00011350
II-5J23,WBGene00017022
II-5J24,WBGene00011351
II-5K01,WBGene00020578
II-5K03,WBGene00020579
II-5K04,WBGene00020163
II-5K05,WBGene00020580
II-5K06,WBGene00020163
II-5K07,WBGene00020581
II-5K08,WBGene00020163
II-5K09,WBGene00020582
II-5K11,WBGene00005052
II-5K13,WBGene00020583
II-5K15,WBGene00020584
II-5K16,WBGene00020166
II-5K17,WBGene00019273
II-5K18,WBGene00002183
II-5K19,WBGene00016000
II-5K20,WBGene00002238
II-5K21,WBGene00016002
II-5K23,WBGene00016002
II-5L01,WBGene00017023
II-5L02,WBGene00004208
II-5L03,WBGene00017024
II-5L04,WBGene00014066
II-5L05,WBGene00005641
II-5L06,WBGene00014989
II-5L07,WBGene00000101
II-5L08,WBGene00014067
II-5L09,WBGene00000280
II-5L10,WBGene00014051
II-5L11,WBGene00019998
II-5L13,WBGene00019999
II-5L14,WBGene00014053
II-5L17,WBGene00016183
II-5L18,WBGene00014055
II-5L20,WBGene00008435
II-5L21,WBGene00016184
II-5L22,WBGene00008436
II-5L23,WBGene00016185
II-5L24,WBGene00004005
II-5M01,WBGene00019273
II-5M02,WBGene00020168
II-5M03,WBGene00016003
II-5M04,WBGene00020169
II-5M05,WBGene00016004
II-5M06,WBGene00017343
II-5M07,WBGene00004507
II-5M09,WBGene00016005
II-5M10,WBGene00017345
II-5M11,WBGene00020498
II-5M12,WBGene00006893
II-5M13,WBGene00020499
II-5M14,WBGene00017347
II-5M14,WBGene00017348
II-5M15,WBGene00020500
II-5M16,WBGene00017348
II-5M17,WBGene00006636
II-5M18,WBGene00004447
II-5M19,WBGene00020501
II-5M20,WBGene00017349
II-5M21,WBGene00001064
II-5M22,WBGene00017350
II-5M23,WBGene00001072
II-5M24,WBGene00017351
II-5N02,WBGene00008438
II-5N03,WBGene00022886
II-5N04,WBGene00008438
II-5N05,WBGene00006600
II-5N06,WBGene00006996
II-5N07,WBGene00004398
II-5N08,WBGene00001835
II-5N09,WBGene00003592
II-5N10,WBGene00007433
II-5N12,WBGene00003813
II-5N13,WBGene00022888
II-5N14,WBGene00004723
II-5N15,WBGene00022889
II-5N15,WBGene00044775
II-5N16,WBGene00007434
II-5N17,WBGene00006956
II-5N18,WBGene00006724
II-5N19,WBGene00022890
II-5N20,WBGene00007435
II-5N21,WBGene00022891
II-5N22,WBGene00007436
II-5N23,WBGene00022892
II-5N24,WBGene00011507
II-5O01,WBGene00020502
II-5O02,WBGene00017352
II-5O03,WBGene00020503
II-5O04,WBGene00020318
II-5O05,WBGene00018298
II-5O06,WBGene00020319
II-5O07,WBGene00018299
II-5O09,WBGene00018300
II-5O10,WBGene00020320
II-5O11,WBGene00001424
II-5O12,WBGene00003966
II-5O13,WBGene00018301
II-5O14,WBGene00016172
II-5O16,WBGene00016173
II-5O17,WBGene00018303
II-5O17,WBGene00044315
II-5O18,WBGene00016174
II-5O19,WBGene00005986
II-5O20,WBGene00000613
II-5O21,WBGene00018304
II-5O22,WBGene00016175
II-5O24,WBGene00001129
II-5P02,WBGene00000151
II-5P03,WBGene00018039
II-5P03,WBGene00194916
II-5P04,WBGene00011508
II-5P05,WBGene00018040
II-5P06,WBGene00011509
II-5P07,WBGene00018041
II-5P08,WBGene00006734
II-5P09,WBGene00018042
II-5P10,WBGene00011510
II-5P11,WBGene00006363
II-5P12,WBGene00011511
II-5P13,WBGene00000390
II-5P14,WBGene00011512
II-5P15,WBGene00019939
II-5P17,WBGene00019940
II-5P18,WBGene00010502
II-5P20,WBGene00003089
II-5P21,WBGene00019941
II-5P22,WBGene00008050
II-5P23,WBGene00003888
II-5P24,WBGene00005150
II-6A01,WBGene00008051
II-6A02,WBGene00012177
II-6A03,WBGene00002147
II-6A04,WBGene00012178
II-6A05,WBGene00006832
II-6A06,WBGene00002065
II-6A07,WBGene00006739
II-6A08,WBGene00006059
II-6A09,WBGene00008052
II-6A10,WBGene00010041
II-6A11,WBGene00008053
II-6A12,WBGene00000615
II-6A13,WBGene00004421
II-6A14,WBGene00004416
II-6A16,WBGene00010042
II-6A17,WBGene00008640
II-6A18,WBGene00010043
II-6A19,WBGene00006655
II-6A20,WBGene00004241
II-6A21,WBGene00008641
II-6A22,WBGene00010044
II-6A23,WBGene00001281
II-6A24,WBGene00000187
II-6B01,WBGene00000286
II-6B02,WBGene00010942
II-6B03,WBGene00007683
II-6B04,WBGene00010943
II-6B04,WBGene00010947
II-6B05,WBGene00004105
II-6B06,WBGene00010946
II-6B07,WBGene00007684
II-6B07,WBGene00007690
II-6B08,WBGene00002199
II-6B09,WBGene00007685
II-6B11,WBGene00007686
II-6B12,WBGene00010945
II-6B13,WBGene00007687
II-6B15,WBGene00007688
II-6B16,WBGene00011157
II-6B17,WBGene00007689
II-6B18,WBGene00011158
II-6B19,WBGene00007690
II-6B20,WBGene00011159
II-6B21,WBGene00009711
II-6B23,WBGene00006514
II-6B24,WBGene00011161
II-6C02,WBGene00010045
II-6C03,WBGene00011466
II-6C04,WBGene00009202
II-6C05,WBGene00000053
II-6C06,WBGene00009203
II-6C07,WBGene00011467
II-6C08,WBGene00000773
II-6C10,WBGene00009204
II-6C11,WBGene00011469
II-6C12,WBGene00009205
II-6C13,WBGene00003241
II-6C15,WBGene00000377
II-6C16,WBGene00004440
II-6C17,WBGene00011471
II-6C18,WBGene00009207
II-6C19,WBGene00011472
II-6C20,WBGene00009208
II-6C21,WBGene00004264
II-6C22,WBGene00009208
II-6C22,WBGene00009209
II-6C24,WBGene00011922
II-6D01,WBGene00009714
II-6D02,WBGene00011162
II-6D03,WBGene00009715
II-6D04,WBGene00011163
II-6D05,WBGene00009716
II-6D06,WBGene00011164
II-6D07,WBGene00009717
II-6D09,WBGene00009504
II-6D10,WBGene00011166
II-6D11,WBGene00001527
II-6D12,WBGene00011167
II-6D13,WBGene00009505
II-6D14,WBGene00011168
II-6D15,WBGene00011980
II-6D18,WBGene00011846
II-6D20,WBGene00011847
II-6D21,WBGene00011977
II-6D22,WBGene00011848
II-6D23,WBGene00011978
II-6D24,WBGene00011849
II-6E02,WBGene00011923
II-6E03,WBGene00010913
II-6E04,WBGene00011924
II-6E05,WBGene00002066
II-6E06,WBGene00011925
II-6E07,WBGene00000894
II-6E08,WBGene00011926
II-6E10,WBGene00011927
II-6E11,WBGene00010915
II-6E12,WBGene00011928
II-6E13,WBGene00003743
II-6E14,WBGene00006875
II-6E15,WBGene00009401
II-6E16,WBGene00004259
II-6E17,WBGene00009402
II-6E18,WBGene00008427
II-6E19,WBGene00009403
II-6E20,WBGene00008428
II-6E22,WBGene00008429
II-6E23,WBGene00009405
II-6E24,WBGene00008430
II-6F01,WBGene00011979
II-6F02,WBGene00001530
II-6F03,WBGene00001950
II-6F04,WBGene00001529
II-6F05,WBGene00011980
II-6F06,WBGene00001528
II-6F07,WBGene00007421
II-6F09,WBGene00000532
II-6F10,WBGene00007081
II-6F11,WBGene00012000
II-6F12,WBGene00005027
II-6F13,WBGene00012005
II-6F14,WBGene00003231
II-6F15,WBGene00001041
II-6F16,WBGene00005028
II-6F17,WBGene00012002
II-6F18,WBGene00005029
II-6F19,WBGene00012003
II-6F20,WBGene00005030
II-6F21,WBGene00012004
II-6F23,WBGene00007633
II-6F24,WBGene00005032
II-6G01,WBGene00010456
II-6G02,WBGene00008431
II-6G03,WBGene00010457
II-6G04,WBGene00008432
II-6G05,WBGene00006562
II-6G06,WBGene00005172
II-6G07,WBGene00001571
II-6G08,WBGene00007915
II-6G09,WBGene00010458
II-6G10,WBGene00007916
II-6G11,WBGene00010459
II-6G12,WBGene00007917
II-6G13,WBGene00010460
II-6G14,WBGene00007918
II-6G15,WBGene00003821
II-6G16,WBGene00004194
II-6G17,WBGene00000379
II-6G18,WBGene00007919
II-6G19,WBGene00008819
II-6G20,WBGene00000432
II-6G21,WBGene00008820
II-6G23,WBGene00004304
II-6H01,WBGene00012421
II-6H02,WBGene00005033
II-6H03,WBGene00012422
II-6H04,WBGene00005034
II-6H05,WBGene00012322
II-6H07,WBGene00000654
II-6H08,WBGene00005035
II-6H09,WBGene00012323
II-6H10,WBGene00009446
II-6H10,WBGene00219291
II-6H11,WBGene00012324
II-6H13,WBGene00001061
II-6H14,WBGene00009448
II-6H15,WBGene00011965
II-6H16,WBGene00009449
II-6H17,WBGene00011966
II-6H18,WBGene00001368
II-6H20,WBGene00009450
II-6H21,WBGene00011967
II-6H22,WBGene00006938
II-6H23,WBGene00002299
II-6H24,WBGene00008455
II-6I01,WBGene00001840
II-6I02,WBGene00004279
II-6I03,WBGene00007744
II-6I04,WBGene00000887
II-6I04,WBGene00206502
II-6I05,WBGene00007745
II-6I06,WBGene00011311
II-6I07,WBGene00001159
II-6I08,WBGene00011312
II-6I09,WBGene00007746
II-6I10,WBGene00004397
II-6I11,WBGene00000653
II-6I12,WBGene00011313
II-6I13,WBGene00010948
II-6I14,WBGene00010681
II-6I16,WBGene00000220
II-6I17,WBGene00010949
II-6I19,WBGene00009897
II-6I21,WBGene00009898
II-6I22,WBGene00010682
II-6I23,WBGene00006719
II-6I24,WBGene00002295
II-6J02,WBGene00008456
II-6J03,WBGene00014209
II-6J04,WBGene00006473
II-6J05,WBGene00014210
II-6J06,WBGene00004050
II-6J08,WBGene00008457
II-6J09,WBGene00006367
II-6J10,WBGene00008458
II-6J10,WBGene00008459
II-6J11,WBGene00004174
II-6J12,WBGene00003618
II-6J13,WBGene00001761
II-6J14,WBGene00001038
II-6J15,WBGene00012032
II-6J18,WBGene00001952
II-6J19,WBGene00012034
II-6J20,WBGene00011789
II-6J22,WBGene00011790
II-6J23,WBGene00007224
II-6J24,WBGene00011791
II-6K01,WBGene00005039
II-6K02,WBGene00004790
II-6K03,WBGene00009899
II-6K05,WBGene00009900
II-6K07,WBGene00009901
II-6K09,WBGene00009902
II-6K10,WBGene00008557
II-6K11,WBGene00009903
II-6K12,WBGene00008558
II-6K13,WBGene00008799
II-6K14,WBGene00008559
II-6K15,WBGene00008800
II-6K16,WBGene00008560
II-6K17,WBGene00008801
II-6K17,WBGene00008804
II-6K18,WBGene00008561
II-6K19,WBGene00008802
II-6K20,WBGene00008559
II-6K22,WBGene00009778
II-6K23,WBGene00001358
II-6K24,WBGene00009779
II-6L01,WBGene00007225
II-6L02,WBGene00014244
II-6L03,WBGene00007226
II-6L04,WBGene00014245
II-6L05,WBGene00007227
II-6L06,WBGene00014246
II-6L07,WBGene00006510
II-6L08,WBGene00014247
II-6L09,WBGene00007228
II-6L10,WBGene00005026
II-6L11,WBGene00000289
II-6L13,WBGene00007229
II-6L14,WBGene00014248
II-6L15,WBGene00004286
II-6L17,WBGene00008402
II-6L18,WBGene00014250
II-6L19,WBGene00008403
II-6L20,WBGene00014251
II-6L21,WBGene00000289
II-6L22,WBGene00014252
II-6L23,WBGene00001134
II-6L24,WBGene00014253
II-6M01,WBGene00001230
II-6M02,WBGene00003544
II-6M03,WBGene00009041
II-6M05,WBGene00009042
II-6M06,WBGene00009781
II-6M07,WBGene00009043
II-6M08,WBGene00009780
II-6M08,WBGene00009781
II-6M08,WBGene00009782
II-6M09,WBGene00009044
II-6M10,WBGene00009783
II-6M11,WBGene00006994
II-6M12,WBGene00009784
II-6M13,WBGene00006994
II-6M14,WBGene00011767
II-6M15,WBGene00001498
II-6M16,WBGene00011768
II-6M17,WBGene00009045
II-6M18,WBGene00044062
II-6M19,WBGene00010874
II-6M20,WBGene00011578
II-6M21,WBGene00010875
II-6M22,WBGene00011579
II-6M23,WBGene00010876
II-6M24,WBGene00004355
II-6N01,WBGene00008404
II-6N03,WBGene00001229
II-6N04,WBGene00014255
II-6N05,WBGene00004744
II-6N07,WBGene00008405
II-6N09,WBGene00006520
II-6N11,WBGene00009626
II-6N12,WBGene00014258
II-6N13,WBGene00006433
II-6N14,WBGene00003749
II-6N15,WBGene00009627
II-6N16,WBGene00006940
II-6N17,WBGene00003196
II-6N18,WBGene00001623
II-6N19,WBGene00007374
II-6N21,WBGene00007375
II-6N22,WBGene00013140
II-6N24,WBGene00013141
II-6N24,WBGene00194906
II-6O01,WBGene00010877
II-6O02,WBGene00011580
II-6O03,WBGene00010878
II-6O04,WBGene00002251
II-6O05,WBGene00010879
II-6O06,WBGene00007178
II-6O07,WBGene00001523
II-6O10,WBGene00007179
II-6O11,WBGene00011761
II-6O12,WBGene00011883
II-6O12,WBGene00011884
II-6O13,WBGene00011757
II-6O14,WBGene00011884
II-6O15,WBGene00011758
II-6O16,WBGene00011885
II-6O17,WBGene00011759
II-6O17,WBGene00011760
II-6O18,WBGene00011886
II-6O19,WBGene00012175
II-6O20,WBGene00011887
II-6O21,WBGene00012176
II-6O22,WBGene00011888
II-6O23,WBGene00004155
II-6O24,WBGene00000378
II-6P01,WBGene00005271
II-6P02,WBGene00013143
II-6P03,WBGene00007377
II-6P04,WBGene00013144
II-6P05,WBGene00007378
II-6P06,WBGene00003785
II-6P07,WBGene00014668
II-6P08,WBGene00003785
II-6P09,WBGene00013085
II-6P10,WBGene00003100
II-6P11,WBGene00013086
II-6P12,WBGene00013145
II-6P13,WBGene00013087
II-6P14,WBGene00014260
II-6P15,WBGene00013088
II-6P16,WBGene00014261
II-6P18,WBGene00000178
II-6P20,WBGene00014262
II-6P21,WBGene00006429
II-6P22,WBGene00011671
II-6P23,WBGene00010941
II-6P24,WBGene00011672
II-7A01,WBGene00011673
II-7A02,WBGene00010014
II-7A03,WBGene00011674
II-7A04,WBGene00010015
II-7A05,WBGene00011675
II-7A06,WBGene00014175
II-7A07,WBGene00011676
II-7A09,WBGene00011677
II-7A12,WBGene00007022
II-7A12,WBGene00014172
II-7A14,WBGene00006918
II-7A15,WBGene00013147
II-7A16,WBGene00001531
II-7A17,WBGene00014158
II-7A18,WBGene00001532
II-7A20,WBGene00001532
II-7A20,WBGene00014173
II-7A21,WBGene00014160
II-7A22,WBGene00010830
II-7A23,WBGene00014161
II-7A24,WBGene00010831
II-7B01,WBGene00000656
II-7B02,WBGene00000851
II-7B03,WBGene00000251
II-7B04,WBGene00006853
II-7B05,WBGene00007489
II-7B06,WBGene00008165
II-7B07,WBGene00007490
II-7B08,WBGene00008166
II-7B09,WBGene00007490
II-7B10,WBGene00006414
II-7B11,WBGene00008256
II-7B12,WBGene00011994
II-7B13,WBGene00008257
II-7B14,WBGene00011995
II-7B15,WBGene00003404
II-7B16,WBGene00011996
II-7B16,WBGene00011999
II-7B17,WBGene00002297
II-7B18,WBGene00011997
II-7B20,WBGene00007041
II-7B21,WBGene00000411
II-7B22,WBGene00007189
II-7B23,WBGene00011067
II-7B24,WBGene00005016
II-7C01,WBGene00003863
II-7C02,WBGene00010832
II-7C03,WBGene00014162
II-7C04,WBGene00007412
II-7C05,WBGene00014163
II-7C06,WBGene00007413
II-7C07,WBGene00007462
II-7C08,WBGene00007414
II-7C09,WBGene00007463
II-7C10,WBGene00007415
II-7C11,WBGene00007464
II-7C12,WBGene00007416
II-7C13,WBGene00007465
II-7C14,WBGene00007417
II-7C15,WBGene00003862
II-7C16,WBGene00007417
II-7C17,WBGene00007466
II-7C18,WBGene00007418
II-7C19,WBGene00007467
II-7C20,WBGene00007419
II-7C22,WBGene00007420
II-7C23,WBGene00007469
II-7C24,WBGene00011661
II-7D01,WBGene00011068
II-7D02,WBGene00007190
II-7D03,WBGene00003805
II-7D04,WBGene00007191
II-7D05,WBGene00011069
II-7D06,WBGene00007192
II-7D08,WBGene00007193
II-7D09,WBGene00011071
II-7D10,WBGene00007194
II-7D11,WBGene00001153
II-7D12,WBGene00000529
II-7D13,WBGene00003367
II-7D14,WBGene00000529
II-7D15,WBGene00011072
II-7D17,WBGene00014848
II-7D18,WBGene00006444
II-7D19,WBGene00003367
II-7D20,WBGene00007339
II-7D21,WBGene00010910
II-7D22,WBGene00007340
II-7D23,WBGene00010911
II-7D24,WBGene00007341
II-7E01,WBGene00007470
II-7E02,WBGene00011662
II-7E03,WBGene00007471
II-7E04,WBGene00001683
II-7E05,WBGene00007472
II-7E07,WBGene00007473
II-7E08,WBGene00008480
II-7E09,WBGene00009146
II-7E10,WBGene00008481
II-7E11,WBGene00006744
II-7E13,WBGene00009147
II-7E14,WBGene00008483
II-7E15,WBGene00007328
II-7E17,WBGene00007329
II-7E19,WBGene00007330
II-7E21,WBGene00007331
II-7E23,WBGene00007332
II-7E24,WBGene00014061
II-7E24,WBGene00014065
II-7F01,WBGene00010912
II-7F02,WBGene00007342
II-7F03,WBGene00000293
II-7F04,WBGene00006915
II-7F05,WBGene00003882
II-7F06,WBGene00006915
II-7F07,WBGene00000880
II-7F08,WBGene00012155
II-7F09,WBGene00010333
II-7F10,WBGene00012156
II-7F11,WBGene00009700
II-7F12,WBGene00012157
II-7F12,WBGene00043534
II-7F13,WBGene00009701
II-7F16,WBGene00004699
II-7F17,WBGene00004222
II-7F18,WBGene00004698
II-7F19,WBGene00005036
II-7F20,WBGene00012202
II-7F21,WBGene00001626
II-7F22,WBGene00000196
II-7F23,WBGene00005038
II-7F24,WBGene00002227
II-7G01,WBGene00007333
II-7G02,WBGene00014062
II-7G03,WBGene00011271
II-7G06,WBGene00014063
II-7G07,WBGene00001207
II-7G09,WBGene00011273
II-7G11,WBGene00011274
II-7G13,WBGene00011275
II-7G14,WBGene00014043
II-7G15,WBGene00011276
II-7G16,WBGene00014044
II-7G17,WBGene00011277
II-7G19,WBGene00002266
II-7G20,WBGene00014046
II-7G21,WBGene00003773
II-7H02,WBGene00002227
II-7H02,WBGene00012203
II-7H04,WBGene00012204
II-7H05,WBGene00009705
II-7H06,WBGene00012205
II-7H07,WBGene00006530
II-7H08,WBGene00012206
II-7H09,WBGene00005037
II-7H10,WBGene00012207
II-7H11,WBGene00012489
II-7H12,WBGene00007142
II-7H13,WBGene00010988
II-7H14,WBGene00006660
II-7H15,WBGene00010989
II-7H16,WBGene00007143
II-7H17,WBGene00010990
II-7H18,WBGene00007144
II-7H19,WBGene00010991
II-7H20,WBGene00007145
II-7H20,WBGene00219293
II-7H21,WBGene00001753
II-7H23,WBGene00003783
II-7H24,WBGene00005267
II-7I04,WBGene00004134
II-7I05,WBGene00014130
II-7I06,WBGene00010318
II-7I07,WBGene00014131
II-7I08,WBGene00010319
II-7I09,WBGene00002497
II-7I11,WBGene00009944
II-7I12,WBGene00010321
II-7I13,WBGene00009945
II-7I14,WBGene00010322
II-7I15,WBGene00009946
II-7I16,WBGene00003107
II-7I17,WBGene00009947
II-7I18,WBGene00011302
II-7I19,WBGene00009948
II-7I20,WBGene00011303
II-7I21,WBGene00002265
II-7I22,WBGene00004185
II-7I23,WBGene00000995
II-7I24,WBGene00011304
II-7J01,WBGene00010992
II-7J02,WBGene00000090
II-7J03,WBGene00004215
II-7J05,WBGene00004215
II-7J06,WBGene00007148
II-7J07,WBGene00000657
