A0FLQ6,O75417
G5EGP1,Q68BL8
G5EBT9,Q16769
G5EBT9,Q9NXS2
G5EBU3,O60882
G5EBU3,P03956
G5EBU3,P08254
G5EBU3,P09238
G5EBU3,P22894
G5EBU3,P24347
G5EBU3,P45452
G5EBU3,P50281
G5EBU3,P51512
G5EBU3,Q99542
G5EBU3,Q9H306
G5EBU3,Q9NPA2
G5EBU3,Q9ULZ9
G5EBU3,Q9Y5R2
G5EBU4,O60315
G5EBU4,P37275
G5EBV0,Q96KS0
G5EBV0,Q9GZT9
G5EBV0,Q9H6Z9
G5EBV8,Q8NER1
G5EBV8,Q8NET8
G5EBV8,Q9H1D0
G5EBV8,Q9HBA0
G5EBV8,Q9NQA5
G5EDR9,Q8NER1
G5EDR9,Q8NET8
G5EDR9,Q9H1D0
G5EDR9,Q9HBA0
G5EDR9,Q9NQA5
O61220,Q8NER1
O61220,Q8NET8
O61220,Q9H1D0
O61220,Q9HBA0
O61220,Q9NQA5
Q22374,Q8NER1
Q22374,Q8NET8
Q22374,Q9H1D0
Q22374,Q9HBA0
Q22374,Q9NQA5
Q9N3Y9,Q8NER1
Q9N3Y9,Q8NET8
Q9N3Y9,Q9H1D0
Q9N3Y9,Q9HBA0
Q9N3Y9,Q9NQA5
G5EBW2,O75604
G5EBW2,P40818
G5EBW2,Q9UK80
G5EBW3,A1A5B4
G5EBW3,Q32M45
G5EBW3,Q4KMQ2
G5EBW3,Q5XXA6
G5EBW3,Q6IWH7
G5EBW3,Q75V66
G5EBW3,Q9BYT9
G5EBW3,Q9NQ90
G5EBX1,Q8IVL0
G5EBX1,Q8IVL1
G5EBX1,Q8NEY1
Q7YSI9,Q8IVL0
Q7YSI9,Q8IVL1
Q7YSI9,Q8NEY1
G5EBX3,Q96S94
G5EBX3,Q9UK58
G5EBX4,Q9P055
G5EBX5,P51003
G5EBX5,Q9BWT3
G5EBX5,Q9NRJ5
Q09995,P51003
Q09995,Q9BWT3
Q09995,Q9NRJ5
Q9U2P3,P51003
Q9U2P3,Q9BWT3
Q9U2P3,Q9NRJ5
G5EBX6,Q01780
G5EBX9,O14829
G5EBY0,Q92541
G5EBY5,O43166
G5EBY5,O60292
G5EBY5,Q96FS4
G5EBY5,Q9P2F8
H2L2C2,O43166
H2L2C2,O60292
H2L2C2,Q96FS4
H2L2C2,Q9P2F8
G5EBY6,Q7RTV0
G5EBZ1,Q92889
G5EBZ4,Q12873
G5EBZ4,Q14839
G5EBZ4,Q8TDI0
Q22516,Q12873
Q22516,Q14839
Q22516,Q8TDI0
G5EC00,P48547
G5EC00,Q03721
G5EC00,Q14003
G5EC00,Q96PR1
G5EEK7,P48547
G5EEK7,Q03721
G5EEK7,Q14003
G5EEK7,Q96PR1
G5EFC3,P48547
G5EFC3,Q03721
G5EFC3,Q14003
G5EFC3,Q96PR1
G5EC05,Q29RF7
G5EC05,Q9NTI5
G5EC09,Q8WUD6
G5EC09,Q9Y6K0
G5EC25,Q8WUD6
G5EC25,Q9Y6K0
G5EC14,Q52LR7
G5EC14,Q9H2F5
G5EC23,P51610
G5EC23,Q9Y5Z7
G5EC24,P29350
G5EC24,Q06124
G5EC27,Q96EK6
Q17427,Q96EK6
G5EC30,O43511
G5EC30,P40879
G5EC30,P50443
G5EC30,P58743
G5EC30,Q9BXS9
G5EC30,Q9H2B4
G5EEA7,O43511
G5EEA7,P40879
G5EEA7,P50443
G5EEA7,P58743
G5EEA7,Q9BXS9
G5EEA7,Q9H2B4
G5EFB2,O43511
G5EFB2,P40879
G5EFB2,P50443
G5EFB2,P58743
G5EFB2,Q9BXS9
G5EFB2,Q9H2B4
O17951,O43511
O17951,P40879
O17951,P50443
O17951,P58743
O17951,Q9BXS9
O17951,Q9H2B4
G5EC31,P30038
G5EC32,O60504
G5EC32,O94875
G5EC32,Q9BX66
O62482,O60504
O62482,O94875
O62482,Q9BX66
G5EC36,P61371
G5EC36,Q96A47
G5EC44,O60671
G5EC45,Q6IQ49
G5EC53,Q6ZNC8
G5EC53,Q6ZWT7
G5EEY2,Q6ZNC8
G5EEY2,Q6ZWT7
H9G2W5,Q6ZNC8
H9G2W5,Q6ZWT7
G5EC63,O15121
G5EC63,Q6QHC5
O44186,O15121
O44186,Q6QHC5
G5EC70,Q7Z624
G5EC75,P51798
G5EC84,Q16739
O18037,Q16739
Q21054,Q16739
G5EC87,P14314
G5EC89,O14813
G5EC89,Q99453
G5EC91,Q9H3N1
G5EC98,P17812
G5EC98,Q9NRF8
G5ECA0,P25325
G5ECA0,Q16762
H9G340,P25325
H9G340,Q16762
O17730,P25325
O17730,Q16762
Q9XTW9,P25325
Q9XTW9,Q16762
Q9XTX2,P25325
Q9XTX2,Q16762
G5ECB2,O75899
G5ECB5,P30039
G5EG50,P30039
G5ECC3,Q9H223
G5ECC3,Q9H4M9
G5ECC3,Q9NZN3
G5ECC3,Q9NZN4
G5ECC7,Q86UV5
G5ECD3,O75311
G5ECD3,P23415
G5ECD3,P23416
G5ECD3,P48167
G5ECD3,Q5JXX5
Q19358,O75311
Q19358,P23415
Q19358,P23416
Q19358,P48167
Q19358,Q5JXX5
G5ECD7,O14974
G5ECD7,O60237
G5ECD7,Q9BZL4
G5ECE3,P24043
G5ECE3,P25391
G5ECE5,P39023
G5ECE5,Q92901
P50880,P39023
P50880,Q92901
G5ECE8,O43820
G5ECE8,P38567
G5ECE8,Q12794
G5ECE8,Q12891
G5ECE8,Q2M3T9
G5ECF0,Q13671
G5ECF0,Q8TB24
G5ECF0,Q8WYP3
G5ECF4,P52732
G5ECH1,P16383
G5ECH1,Q9Y5B6
G5ECH5,Q8TF05
G5ECH5,Q9P1A2
G5EFI6,Q8TF05
G5EFI6,Q9P1A2
G5ECH7,Q00535
G5ECI8,O95363
G5EEN1,O95363
G5ECI9,Q9P2D8
P42173,Q9P2D8
G5ECJ4,Q6ZRY4
G5ECJ4,Q93062
G5ECJ6,P41240
G5ECJ6,P42679
G5ECK4,A1IGU5
G5ECK4,Q6XZF7
G5ECL1,Q5H9J9
G5ECL1,Q8N4U5
G5ECL1,Q8WWU5
G5ECL1,Q9NUJ3
G5ECL3,Q15459
G5ECL7,Q9BPX1
G5ECU4,Q9BPX1
O16969,Q9BPX1
O16971,Q9BPX1
O16995,Q9BPX1
O45236,Q9BPX1
O45709,Q9BPX1
Q17724,Q9BPX1
Q17726,Q9BPX1
Q18946,Q9BPX1
Q19108,Q9BPX1
Q19774,Q9BPX1
Q19890,Q9BPX1
Q1EPL7,Q9BPX1
Q8MXS8,Q9BPX1
Q9BL81,Q9BPX1
Q9N5G1,Q9BPX1
Q9N5G2,Q9BPX1
Q9N5G3,Q9BPX1
Q9N5G4,Q9BPX1
G5ECM0,Q92952
G5ECM0,Q9H2S1
G5ECM0,Q9UGI6
Q8I4G4,Q92952
Q8I4G4,Q9H2S1
Q8I4G4,Q9UGI6
G5ECM6,P49411
G5ECN1,P18507
G5ECN2,Q96JX3
G5ECN8,Q9BWW7
G5ECN8,Q9NQ03
G5ECN9,P16519
G5ECP0,O75161
G5ECP4,P51617
G5ECP4,Q9NWZ3
G5ECQ3,Q2M2I8
G5ECR6,Q96C23
G5ECR7,Q15370
G5ECR8,P04062
Q9UB00,P04062
G5ECR9,P10589
G5ECS9,P23786
G5ECT5,P02545
G5ECT5,P20700
G5ECT5,Q03252
O02365,P02545
O02365,P20700
O02365,Q03252
P90900,P02545
P90900,P20700
P90900,Q03252
P90901,P02545
P90901,P20700
P90901,Q03252
Q19289,P02545
Q19289,P20700
Q19289,Q03252
Q21065,P02545
Q21065,P20700
Q21065,Q03252
G5ECT8,Q04741
G5ECT8,Q04743
G5ECU1,P63208
G5EDD8,P63208
G5ECV5,Q7Z3E5
G5ECV9,O75891
G5ECV9,Q3SY69
G5ECW3,Q8NDI1
G5ECW4,Q9P2Q2
G5ECW4,Q9Y2L6
G5ECW7,Q9NY33
G5ECW9,Q6P3S1
G5ECW9,Q8IV53
G5ECW9,Q8TEH3
G5ECX2,O00533
G5ECX2,O94856
G5ECX2,P32004
G5ECX2,Q92823
G5ECX8,P53990
G5ECY0,P78352
G5ECY0,Q12959
G5ECY0,Q15700
G5ECY0,Q92796
G5ECY6,Q9UNE7
G5ECZ0,B0I1T2
G5ECZ0,O94832
G5ECZ1,P16157
G5ECZ1,Q01484
G5ECZ1,Q12955
Q17490,P16157
Q17490,Q01484
Q17490,Q12955
G5ECZ4,Q8NEZ3
G5ECZ8,O75970
G5ECZ8,Q8NI35
G5ED01,Q9NPH2
G5ED03,P98174
G5ED03,Q5JSP0
G5ED03,Q7Z6J4
G5ED03,Q96M96
G5ED07,P30101
G5ED17,Q9NSY0
G5ED17,Q9UHY1
G5ED21,O95602
G5ED24,Q8IVE3
G5ED24,Q9ULM0
G5ED26,Q9UHI6
G5ED30,Q9BQJ4
G5ED33,Q12929
G5ED33,Q8TE67
G5ED33,Q8TE68
G5ED33,Q9H6S3
G5ED34,O43237
G5ED34,Q9Y6G9
G5ED36,O75165
G5ED37,Q13099
G5ED39,Q14674
Q23491,Q14674
G5ED41,O75155
G5ED41,Q86VP6
G5ED44,O00767
G5ED44,Q86SK9
G5EGH6,O00767
G5EGH6,Q86SK9
G5EGN2,O00767
G5EGN2,Q86SK9
G5ED45,Q6ZMG9
G5ED45,Q8IU89
G5ED45,Q8N5B7
G5ED45,Q96G23
G5ED45,Q9HA82
Q7Z139,Q6ZMG9
Q7Z139,Q8IU89
Q7Z139,Q8N5B7
Q7Z139,Q96G23
Q7Z139,Q9HA82
G5ED46,O94985
G5ED46,Q9BQT9
G5ED46,Q9H4D0
G5ED60,Q96EZ8
G5ED65,P07333
G5ED65,P09619
G5ED65,P10721
G5ED65,P16234
G5ED65,P17948
G5ED65,P35916
G5ED65,P35968
G5ED65,P36888
O76695,P07333
O76695,P09619
O76695,P10721
O76695,P16234
O76695,P17948
O76695,P35916
O76695,P35968
O76695,P36888
P34892,P07333
P34892,P09619
P34892,P10721
P34892,P16234
P34892,P17948
P34892,P35916
P34892,P35968
P34892,P36888
Q21038,P07333
Q21038,P09619
Q21038,P10721
Q21038,P16234
Q21038,P17948
Q21038,P35916
Q21038,P35968
Q21038,P36888
Q21041,P07333
Q21041,P09619
Q21041,P10721
Q21041,P16234
Q21041,P17948
Q21041,P35916
Q21041,P35968
Q21041,P36888
G5ED80,Q15075
Q5FC45,Q15075
G5ED82,O76062
G5ED82,Q14739
G5ED82,Q9UBM7
G5ED84,Q9P2G9
G5ED87,P14735
O16249,P14735
Q17592,P14735
Q17593,P14735
G5ED88,Q8IVB4
G5ED88,Q92581
G5ED88,Q96T83
G5ED89,Q86YP4
G5ED89,Q8WXI9
G5ED95,P54577
G5ED97,Q8IWX8
G5ED98,Q9Y2I7
G5EDA5,Q6VAB6
G5EDA5,Q8IVT5
G5EFD2,Q6VAB6
G5EFD2,Q8IVT5
G5EDB0,Q8N129
G5EDB0,Q9BT09
G5EDB2,P49759
G5EDB2,P49760
G5EDB2,P49761
G5EDB2,Q9HAZ1
G5EDB6,Q9UQ90
G5EDB7,Q05329
G5EDB7,Q99259
Q8I4E0,Q05329
Q8I4E0,Q99259
G5EDB8,Q99437
G5EDB9,Q8TEU7
G5EDB9,Q9Y4G8
G5EDC6,Q96BM9
G5EDC6,Q9NVJ2
G5EDD1,P22695
Q22370,P22695
Q9TZ33,P22695
G5EDD3,Q03001
G5EDD3,Q15149
G5EDD3,Q9UPN3
G5EFM4,Q03001
G5EFM4,Q15149
G5EFM4,Q9UPN3
G5EDE1,Q5VTD9
G5EDE1,Q99684
G5EDE3,Q12809
G5EDE3,Q9H252
G5EDE3,Q9NS40
G5EE47,Q12809
G5EE47,Q9H252
G5EE47,Q9NS40
G5EDE4,O15234
G5EDE5,Q6NW40
G5EDE5,Q6ZVN8
G5EDE5,Q96B86
G5EDE8,P49257
G5EDF0,Q6ISB3
G5EDF0,Q8TE85
G5EDF0,Q9NZI5
G5EDF6,Q9Y366
G5EDF7,P45985
G5EDF7,P46734
G5EDF7,P52564
G5EDF9,O95342
G5EDF9,P08183
G5EDF9,P21439
G5EDG2,Q9H4L7
G5EDG4,Q8NDA2
G5EDG4,Q96RW7
G5EDG9,Q8WVB3
G5EEC8,Q8WVB3
G5EFL1,Q8WVB3
G5EDH0,O00522
G5EDI2,O75298
G5EDI2,O95197
G5EDI2,Q16799
G5EDI2,Q9NQC3
G5EDI3,Q9H0C8
G5EDI8,O95786
G5EDI8,Q96C10
G5EDI8,Q9BYX4
G5EDJ9,Q96H78
Q19422,Q96H78
G5EDK1,Q15650
G5EDK5,Q9HCU4
G5EDK5,Q9NYQ6
G5EDK5,Q9NYQ7
G5EDL0,P19419
G5EDL0,P28324
G5EDL0,P41970
G5EDM1,Q8IZF0
Q8MXH5,Q8IZF0
G5EDN2,Q92521
G5EDN3,Q9UNS1
G5EDN6,P63098
G5EDN6,Q96LZ3
G5EDN8,Q14678
G5EDN8,Q5T7N3
G5EDN8,Q63ZY3
G5EDN8,Q6NY19
G5EDN9,O14795
G5EDN9,Q8NB66
G5EDN9,Q9UPW8
P27715,O14795
P27715,Q8NB66
P27715,Q9UPW8
G5EDP0,Q9HB40
G5EDP2,P22307
G5EDP9,O00459
G5EDP9,P27986
G5EDP9,Q92569
G5EDR3,P63151
G5EDR3,Q00005
G5EDR3,Q66LE6
G5EDR3,Q9Y2T4
G5EDR5,P21217
G5EDR5,P22083
G5EDR5,P51993
G5EDR5,Q11128
G5EDR5,Q11130
G5EDR5,Q9Y231
G5EEE1,P21217
G5EEE1,P22083
G5EEE1,P51993
G5EEE1,Q11128
G5EEE1,Q11130
G5EEE1,Q9Y231
G5EDS1,P26367
G5EDS8,Q15024
G5EDT1,P06400
G5EDT1,P28749
G5EDT1,Q08999
G5EDT4,Q9Y6R7
G5EDT9,O95071
G5EDU1,O75185
G5EDU1,P98194
G5EDU3,O14939
G5EDU3,Q13393
G5EDU6,O14753
G5EDU6,Q9BRP0
G5EDU7,Q06330
G5EDU7,Q9UBG7
G5EDW2,O94910
G5EDW2,O95490
G5EDW2,Q9HAR2
G5EDW2,Q9HBW9
G5EDW5,O43184
G5EDW5,O43506
G5EDW5,P78325
G5EDW5,Q13443
G5EDW5,Q9BZ11
G5EDW5,Q9H013
G5EDW5,Q9H2U9
G5EDW5,Q9UKF2
G5EDW5,Q9UKF5
G5EDW5,Q9UKJ8
G5EDW5,Q9UKQ2
G5EDW9,Q9NVH2
G5EDX1,P23352
G5EDY0,O00443
G5EDY0,O00750
G5EDY0,O75747
G5EDY2,P23381
G5EDZ2,P11172
G5EDZ5,Q13555
G5EDZ5,Q13557
G5EDZ5,Q9UQM7
O62305,Q13555
O62305,Q13557
O62305,Q9UQM7
G5EE01,P56180
G5EE01,P60484
G5EE01,Q6XPS3
G5EE03,P62952
G5EE04,P50502
G5EE05,Q14517
G5EE05,Q8TDW7
G5EE05,Q9NYQ8
Q19319,Q14517
Q19319,Q8TDW7
Q19319,Q9NYQ8
G5EE06,P21217
G5EE06,P22083
G5EE06,P51993
G5EE06,Q11128
G5EE06,Q11130
G5EE06,Q9Y231
G5EEE1,P21217
G5EEE1,P22083
G5EEE1,P51993
G5EEE1,Q11128
G5EEE1,Q11130
G5EEE1,Q9Y231
G5EEL7,P21217
G5EEL7,P22083
G5EEL7,P51993
G5EEL7,Q11128
G5EEL7,Q11130
G5EEL7,Q9Y231
G5EE11,Q5T440
G5EE12,O43815
G5EE12,Q13033
G5EE12,Q9NRL3
G5EE14,P35670
G5EE14,Q04656
G5EE16,A0JNW5
G5EE16,Q6BDS2
G5EE18,A6NCS4
G5EE18,O95096
G5EE18,P43699
G5EE18,Q9H2Z4
G5EE22,P05181
G5EE22,P10632
G5EE22,P10635
G5EE22,P11509
G5EE22,P11712
G5EE22,P20813
G5EE22,P20853
G5EE22,P24903
G5EE22,P33260
G5EE22,P33261
G5EE22,P51589
G5EE22,Q16696
G5EE22,Q6VVX0
G5EE22,Q7Z449
G5EE22,Q8TAV3
G5EE22,Q96SQ9
O16362,P05181
O16362,P10632
O16362,P10635
O16362,P11509
O16362,P11712
O16362,P20813
O16362,P20853
O16362,P24903
O16362,P33260
O16362,P33261
O16362,P51589
O16362,Q16696
O16362,Q6VVX0
O16362,Q7Z449
O16362,Q8TAV3
O16362,Q96SQ9
O16670,P05181
O16670,P10632
O16670,P10635
O16670,P11509
O16670,P11712
O16670,P20813
O16670,P20853
O16670,P24903
O16670,P33260
O16670,P33261
O16670,P51589
O16670,Q16696
O16670,Q6VVX0
O16670,Q7Z449
O16670,Q8TAV3
O16670,Q96SQ9
O16671,P05181
O16671,P10632
O16671,P10635
O16671,P11509
O16671,P11712
O16671,P20813
O16671,P20853
O16671,P24903
O16671,P33260
O16671,P33261
O16671,P51589
O16671,Q16696
O16671,Q6VVX0
O16671,Q7Z449
O16671,Q8TAV3
O16671,Q96SQ9
O16672,P05181
O16672,P10632
O16672,P10635
O16672,P11509
O16672,P11712
O16672,P20813
O16672,P20853
O16672,P24903
O16672,P33260
O16672,P33261
O16672,P51589
O16672,Q16696
O16672,Q6VVX0
O16672,Q7Z449
O16672,Q8TAV3
O16672,Q96SQ9
O44704,P05181
O44704,P10632
O44704,P10635
O44704,P11509
O44704,P11712
O44704,P20813
O44704,P20853
O44704,P24903
O44704,P33260
O44704,P33261
O44704,P51589
O44704,Q16696
O44704,Q6VVX0
O44704,Q7Z449
O44704,Q8TAV3
O44704,Q96SQ9
O45659,P05181
O45659,P10632
O45659,P10635
O45659,P11509
O45659,P11712
O45659,P20813
O45659,P20853
O45659,P24903
O45659,P33260
O45659,P33261
O45659,P51589
O45659,Q16696
O45659,Q6VVX0
O45659,Q7Z449
O45659,Q8TAV3
O45659,Q96SQ9
G5EE23,Q6WCQ1
G5EE23,Q9H2D6
G5EE25,Q8TF76
Q94191,Q8TF76
Q9BL96,Q8TF76
G5EE26,Q5T5C0
G5EE26,Q9Y2K9
Q8T3B2,Q5T5C0
Q8T3B2,Q9Y2K9
G5EE32,Q4AC99
G5EE32,Q96QU6
G5EE36,O14558
G5EE36,P02489
G5EE36,P02511
G5EE36,P04792
G5EE65,O14558
G5EE65,P02489
G5EE65,P02511
G5EE65,P04792
P34328,O14558
P34328,P02489
P34328,P02511
P34328,P04792
Q20164,O14558
Q20164,P02489
Q20164,P02511
Q20164,P04792
G5EE42,H3BMV2
G5EE46,Q8N465
G5EE56,P06239
G5EE56,P06241
G5EE56,P07947
G5EE56,P07948
G5EE56,P08631
G5EE56,P09769
G5EE56,P12931
G5EE56,P51451
G5EE68,O95319
G5EE68,Q5SZQ8
G5EE68,Q8N6W0
G5EE68,Q96J87
G5EE68,Q9BZC1
G5EE72,O15440
G5EE72,Q96J65
G5EE72,Q96J66
G5EE74,Q9Y266
G5EE77,O00337
G5EE77,O43868
G5EE77,Q9HAS3
H2KYD6,O00337
H2KYD6,O43868
H2KYD6,Q9HAS3
G5EE78,P51812
G5EE78,Q15349
G5EE78,Q15418
G5EE78,Q9UK32
Q21734,P51812
Q21734,Q15349
Q21734,Q15418
Q21734,Q9UK32
G5EE80,P61011
G5EE96,Q9UBX3
G5EE99,Q8N2U9
G5EEA1,Q68G74
G5EEA1,Q9UPM6
G5EEC5,Q6ZVD7
G5EED5,O14828
G5EED5,O15127
G5EED5,Q8TAC9
G5EED5,Q969E2
G5EED7,Q8NFZ3
Q9XTG1,Q8NFZ3
G5EED9,O00562
G5EED9,Q9BZ71
G5EED9,Q9BZ72
G5EEE2,Q14028
G5EEE2,Q9NQW8
G5EEF7,O00144
G5EEF7,O75084
G5EEF7,Q13467
G5EEF7,Q14332
G5EEF7,Q9ULV1
G5EEF7,Q9ULW2
G5EEF7,Q9UP38
G5EEF8,Q9UBP0
Q8MNV0,Q9UBP0
G5EEG1,P23511
Q5ZEP9,P23511
G5EEG4,Q96PE7
G5EEG5,Q9BQ90
G5EEG6,Q96CQ1
G5EEG6,Q9BSK2
G5EEG7,Q2TAY7
G5EEG8,Q9H4G0
G5EEG9,P15884
G5EEG9,P15923
G5EEG9,Q99081
G5EEH3,O15399
G5EEH3,Q12879
G5EEH3,Q13224
G5EEH3,Q14957
G5EEH6,P26440
G5EEH9,P52948
G5EEI8,Q9UHD1
G5EEI8,Q9UKP3
G5EEK0,O94778
H2FLH4,O94778
Q18469,O94778
G5EEK8,O14983
G5EEK8,P16615
G5EEK8,Q93084
G5EEL2,O43660
G5EEL5,P12643
G5EEL5,P12644
G5EEL5,P18075
G5EEL5,P22003
G5EEL5,P22004
G5EEL5,P34820
G5EEL5,P43026
G5EEL5,Q7Z5Y6
G5EEM5,Q14008
Q9N4J7,Q14008
G5EEM6,Q15750
G5EEM9,Q8NEL9
G5EEN3,Q14185
G5EEN3,Q8IZD9
G5EEN3,Q8N1I0
G5EEN3,Q92608
G5EEN3,Q9H7D0
G5EEN6,Q92698
G5EEN7,O60232
G5EEP3,Q9Y256
G5EEQ8,O75533
G5EER4,Q13630
G5EES3,Q9H9G7
G5EES3,Q9HCK5
G5EES3,Q9UKV8
G5EES3,Q9UL18
O16720,Q9H9G7
O16720,Q9HCK5
O16720,Q9UKV8
O16720,Q9UL18
G5EES6,Q9Y263
G5EES9,O43396
G5EET2,P33316
G5EET5,P45973
G5EET5,P83916
G5EET5,Q13185
Q9U3C6,P45973
Q9U3C6,P83916
Q9U3C6,Q13185
G5EEU1,O15155
G5EEV0,P25325
G5EEV0,Q16762
G5EEV2,Q9Y4A5
G5EEV4,Q5JSH3
G5EEV6,O15230
Q21313,O15230
G5EEV7,Q8N122
G5EEW0,A7MBM2
G5EEW0,Q96F81
Q19153,A7MBM2
Q19153,Q96F81
G5EEW5,Q9UNY4
P91494,Q9UNY4
G5EEW6,Q8WUA2
G5EEW7,A6NFN3
G5EEW7,O43251
G5EEW7,Q9NWB1
Q10572,A6NFN3
Q10572,O43251
Q10572,Q9NWB1
G5EEW9,Q8WXI2
G5EEX6,A6NE02
G5EEY5,Q86U86
G5EEZ0,Q9NWS8
G5EEZ1,Q96I51
G5EEZ4,Q9H6Y2
G5EEZ6,O75808
O44903,O75808
G5EF07,O14981
G5EF08,P32418
G5EF08,P57103
G5EF08,Q9UPR5
G5EF11,O00716
G5EF11,Q14209
G5EF11,Q15329
G5EF11,Q16254
G5EF26,P30533
G5EF34,Q9NZV1
G5EF38,Q8TE99
Q95PW2,Q8TE99
G5EF39,Q13643
G5EF39,Q14192
G5EF43,P30531
G5EF48,A6NGC4
G5EF48,Q96CP7
H2L0G2,A6NGC4
H2L0G2,Q96CP7
G5EF50,P54108
O16575,P54108
Q18538,P54108
Q18539,P54108
Q18540,P54108
Q18543,P54108
Q20603,P54108
Q20608,P54108
Q20609,P54108
Q93444,P54108
Q93746,P54108
Q9N5N3,P54108
Q9N5N4,P54108
G5EF50,O43692
G5EF50,P48060
G5EF50,Q6UWM5
G5EF50,Q6UXB8
G5EF50,Q9H0B8
G5EF50,Q9H336
G5EF50,Q9H3Y0
O16575,O43692
O16575,P48060
O16575,Q6UWM5
O16575,Q6UXB8
O16575,Q9H0B8
O16575,Q9H336
O16575,Q9H3Y0
Q18538,O43692
Q18538,P48060
Q18538,Q6UWM5
Q18538,Q6UXB8
Q18538,Q9H0B8
Q18538,Q9H336
Q18538,Q9H3Y0
Q18539,O43692
Q18539,P48060
Q18539,Q6UWM5
Q18539,Q6UXB8
Q18539,Q9H0B8
Q18539,Q9H336
Q18539,Q9H3Y0
Q18540,O43692
Q18540,P48060
Q18540,Q6UWM5
Q18540,Q6UXB8
Q18540,Q9H0B8
Q18540,Q9H336
Q18540,Q9H3Y0
Q18543,O43692
Q18543,P48060
Q18543,Q6UWM5
Q18543,Q6UXB8
Q18543,Q9H0B8
Q18543,Q9H336
Q18543,Q9H3Y0
Q20603,O43692
Q20603,P48060
Q20603,Q6UWM5
Q20603,Q6UXB8
Q20603,Q9H0B8
Q20603,Q9H336
Q20603,Q9H3Y0
Q20608,O43692
Q20608,P48060
Q20608,Q6UWM5
Q20608,Q6UXB8
Q20608,Q9H0B8
Q20608,Q9H336
Q20608,Q9H3Y0
Q20609,O43692
Q20609,P48060
Q20609,Q6UWM5
Q20609,Q6UXB8
Q20609,Q9H0B8
Q20609,Q9H336
Q20609,Q9H3Y0
Q93444,O43692
Q93444,P48060
Q93444,Q6UWM5
Q93444,Q6UXB8
Q93444,Q9H0B8
Q93444,Q9H336
Q93444,Q9H3Y0
Q93746,O43692
Q93746,P48060
Q93746,Q6UWM5
Q93746,Q6UXB8
Q93746,Q9H0B8
Q93746,Q9H336
Q93746,Q9H3Y0
Q9N5N3,O43692
Q9N5N3,P48060
Q9N5N3,Q6UWM5
Q9N5N3,Q6UXB8
Q9N5N3,Q9H0B8
Q9N5N3,Q9H336
Q9N5N3,Q9H3Y0
Q9N5N4,O43692
Q9N5N4,P48060
Q9N5N4,Q6UWM5
Q9N5N4,Q6UXB8
Q9N5N4,Q9H0B8
Q9N5N4,Q9H336
Q9N5N4,Q9H3Y0
G5EF51,Q8NBH2
G5EF53,P51531
G5EF53,P51532
G5EF60,Q13586
G5EF60,Q9P246
G5EF62,A1L390
G5EF62,Q9H7P9
G5EF62,Q9ULL1
G5EF63,Q9Y5W7
G5EF65,Q8NBZ7
G5EF68,O75529
G5EF68,Q15542
G5EF76,Q14469
G5EF77,M0R2C6
G5EF80,Q52LW3
G5EF80,Q92619
G5EF80,Q9P107
G5EF82,Q9H9A7
G5EF83,Q7L266
G5EF83,Q9H6P5
G5EF86,P10768
G5EF96,P43146
G5EF96,Q92859
G5EF97,Q15637
G5EFA4,O15021
G5EFA4,O60307
G5EFA4,Q6P0Q8
G5EFA4,Q9Y2H9
H9G328,O15021
H9G328,O60307
H9G328,Q6P0Q8
H9G328,Q9Y2H9
G5EFA6,Q96AX2
G5EFA6,Q9ULW5
G5EFB9,Q5EBL4
G5EFC1,P61006
G5EFC1,Q92930
G5EFC4,Q99459
G5EFC8,P51398
G5EFD4,Q9NP58
G5EFD5,O43184
G5EFD5,O43506
G5EFD5,P78325
G5EFD5,Q13443
G5EFD5,Q13444
G5EFD5,Q9BZ11
G5EFD5,Q9H013
G5EFD5,Q9H2U9
G5EFD5,Q9UKJ8
G5EFD5,Q9UKQ2
G5EFD7,Q9Y4P3
G5EFD8,Q9H6R6
G5EFD9,O14672
G5EFE1,O15085
G5EFE1,Q92888
G5EFE1,Q9NZN5
G5EFE5,P55011
G5EFE5,P55017
G5EFE5,Q13621
H8ESD5,P55011
H8ESD5,P55017
H8ESD5,Q13621
G5EFE7,Q9BYC5
G5EFF4,Q9BXA9
G5EFF4,Q9NSC2
G5EFF4,Q9UJQ4
G5EFF4,Q9Y467
G5EFF5,O75469
Q94407,O75469
Q9XYB7,O75469
G5EFF7,Q9H347
G5EFF7,Q9UHD9
G5EFF7,Q9UMX0
G5EFF9,Q9UI10
G5EFG0,Q5TEA6
G5EFG0,Q9UBV2
G5EFG4,Q9UG63
G5EFG5,P54278
G5EFH0,O95478
G5EFH7,Q9Y6D5
G5EFH7,Q9Y6D6
G5EFH8,P35520
Q9N4K2,P35520
G5EFI4,O00182
G5EFI4,O00214
G5EFI4,P56470
G5EFI4,Q3B8N2
G5EFI4,Q6DKI2
I2HAG1,O00182
I2HAG1,O00214
I2HAG1,P56470
I2HAG1,Q3B8N2
I2HAG1,Q6DKI2
O45904,O00182
O45904,O00214
O45904,P56470
O45904,Q3B8N2
O45904,Q6DKI2
P36573,O00182
P36573,O00214
P36573,P56470
P36573,Q3B8N2
P36573,Q6DKI2
Q09581,O00182
Q09581,O00214
Q09581,P56470
Q09581,Q3B8N2
Q09581,Q6DKI2
Q18625,O00182
Q18625,O00214
Q18625,P56470
Q18625,Q3B8N2
Q18625,Q6DKI2
Q20684,O00182
Q20684,O00214
Q20684,P56470
