HS_ENSG,Gene/Locus MIM number,Phenotype and Phenotype MIM number
ENSG00000038945,153622,"Barrett esophagus/esophageal adenocarcinoma, 614266 | Prostate cancer, hereditary, 176807"
ENSG00000165474,121011,"Bart-Pumphrey syndrome, 149200 | Deafness, autosomal dominant 3A, 601544 | Deafness, autosomal recessive 1A, 220290 | Hystrix-like ichthyosis with deafness, 602540 | Keratitis-ichthyosis-deafness syndrome, 148210 | Keratoderma, palmoplantar, with deafness, 148350 | Vohwinkel syndrome, 124500"
ENSG00000102125,300394,"Barth syndrome, 302060"
ENSG00000074803,600839,"Bartter syndrome, type 1, 601678"
ENSG00000151704,600359,"Bartter syndrome, type 2, 241200"
ENSG00000184908,602023,"Bartter syndrome, type 3, 607364 | Bartter syndrome, type 4b, digenic, 613090"
ENSG00000162399,606412,"Bartter syndrome, type 4a, 602522 | Sensorineural deafness with mild renal dysfunction, 602522"
ENSG00000186510,602024,"Bartter syndrome, type 4b, digenic, 613090"
ENSG00000102316,300470,"Bartter syndrome, type 5, antenatal, transient, 300971"
ENSG00000185920,601309,"Basal cell carcinoma, somatic, 605462 | Basal cell nevus syndrome, 109400 | Holoprosencephaly 7, 610828"
ENSG00000117425,603673,"Basal cell carcinoma, somatic, 605462 | Basal cell nevus syndrome, 109400 | Medulloblastoma, somatic, 155255"
ENSG00000145715,139150,"Basal cell carcinoma, somatic, 605462 | Capillary malformation-arteriovenous malformation, 608354 | Parkes Weber syndrome, 608355"
ENSG00000128602,601500,"Basal cell carcinoma, somatic, 605462 | Curry-Jones syndrome, somatic mosaic, 601707"
ENSG00000107882,607035,"Basal cell nevus syndrome, 109400 | Joubert syndrome 32, 617757 | Medulloblastoma, desmoplastic, 155255 | Meningioma, familial, susceptibility to, 607174"
ENSG00000168575,158378,"Basal ganglia calcification, idiopathic, 1, 213600"
ENSG00000113721,173410,"Basal ganglia calcification, idiopathic, 4, 615007 | Kosaki overgrowth syndrome, 616592 | Myeloproliferative disorder with eosinophilia, 131440 | Myofibromatosis, infantile, 1, 228550 | Premature aging syndrome, Penttinen type, 601812"
ENSG00000100311,190040,"Basal ganglia calcification, idiopathic, 5, 615483 | Dermatofibrosarcoma protuberans, 607907 | Meningioma, SIS-related, 607174"
ENSG00000143324,605237,"Basal ganglia calcification, idiopathic, 6, 616413"
ENSG00000000971,134370,"Basal laminar drusen, 126700 | Complement factor H deficiency, 609814 | Hemolytic uremic syndrome, atypical, susceptibility to, 1, 235400 | Macular degeneration, age-related, 4, 610698"
ENSG00000131652,615403,"Beaulieu-Boycott-Innes syndrome, 613680"
ENSG00000198947,300377,"Becker muscular dystrophy, 300376 | Cardiomyopathy, dilated, 3B, 302045 | Duchenne muscular dystrophy, 310200"
ENSG00000269821,604115,"Beckwith-Wiedemann syndrome, 130650"
ENSG00000129757,600856,"Beckwith-Wiedemann syndrome, 130650 | IMAGE syndrome, 614732"
ENSG00000130600,103280,"Beckwith-Wiedemann syndrome, 130650 | Silver-Russell syndrome, 180860 | Wilms tumor 2, 194071"
ENSG00000181019,125860,"Benzene toxicity, susceptibility to | Breast cancer, poor survival after chemotherapy for | Leukemia, post-chemotherapy, susceptibility to"
ENSG00000185245,606672,"Bernard-Soulier syndrome, type A1 (recessive), 231200 | Bernard-Soulier syndrome, type A2 (dominant), 153670 | von Willebrand disease, platelet-type, 177820 | Nonarteritic anterior ischemic optic neuropathy, susceptibility to, 258660"
ENSG00000203618,138720,"Bernard-Soulier syndrome, type B, 231200 | Giant platelet disorder, isolated, 231200"
ENSG00000169704,173515,"Bernard-Soulier syndrome, type C, 231200"
ENSG00000223865,142858,"Beryllium disease, chronic, susceptibility to"
ENSG00000167995,607854,"Bestrophinopathy, autosomal recessive, 611809 | Macular dystrophy, vitelliform, 2, 153700 | Microcornea, rod-cone dystrophy, cataract, and posterior staphyloma, 193220 | Retinitis pigmentosa, concentric, 613194 | Retinitis pigmentosa-50, 613194 | Vitreoretinochoroidopathy, 193220"
ENSG00000169252,109690,"Beta-2-adrenoreceptor agonist, reduced response to | Asthma, nocturnal, susceptibility to, 600807 | Obesity, susceptibility to, 601665"
ENSG00000113492,612471,"Beta-aminoisobutyric acid, urinary excretion of, 210100"
ENSG00000128519,604867,"Beta-glycopyranoside tasting | Alcohol dependence, susceptibility to, 103780"
ENSG00000100024,606673,"Beta-ureidopropionase deficiency, 613161"
ENSG00000163359,120250,"Bethlem myopathy 1, 158810 | Dystonia 27, 616411 | Ullrich congenital muscular dystrophy 1, 254090"
ENSG00000142156,120220,"Bethlem myopathy 1, 158810 | Ullrich congenital muscular dystrophy 1, 254090"
ENSG00000145476,608614,"Bietti crystalline corneoretinal dystrophy, 210370"
ENSG00000164946,608944,"Bifid nose with or without anorectal and renal anomalies, 608980 | Manitoba oculotrichoanal syndrome, 248450 | Trigonocephaly 2, 614485"
ENSG00000125255,601295,"Bile acid malabsorption, primary, 613291"
ENSG00000099377,607764,"Bile acid synthesis defect, congenital, 1, 607765"
ENSG00000122787,604741,"Bile acid synthesis defect, congenital, 2, 235555"
ENSG00000172817,603711,"Bile acid synthesis defect, congenital, 3, 613812 | Spastic paraplegia 5A, autosomal recessive, 270800"
ENSG00000117528,170995,"Bile acid synthesis defect, congenital, 5, 616278"
ENSG00000168306,601641,"Bile acid synthesis defect, congenital, 6, 617308"
ENSG00000169814,609019,"Biotinidase deficiency, 253260"
ENSG00000169427,605874,"Birk-Barel mental retardation dysmorphism syndrome, 612292"
ENSG00000014824,604604,"Birk-Landau-Perez syndrome, 617595"
ENSG00000154803,607273,"Birt-Hogg-Dube syndrome, 135150 | Colorectal cancer, somatic, 114500 | Pneumothorax, primary spontaneous, 173600 | Renal carcinoma, chromophobe, somatic, 144700"
ENSG00000074582,603647,"Bjornstad syndrome, 262000 | GRACILE syndrome, 603358 | Leigh syndrome, 256000 | Mitochondrial complex III deficiency, nuclear type 1, 124000"
ENSG00000133703,190070,"Bladder cancer, somatic, 109800 | Breast cancer, somatic, 114480 | Cardiofaciocutaneous syndrome 2, 615278 | Gastric cancer, somatic, 137215 | Leukemia, acute myeloid, 601626 | Lung cancer, somatic, 211980 | Noonan syndrome 3, 609942 | Pancreatic carcinoma, somatic, 260350 | RAS-associated autoimmune leukoproliferative disorder, 614470 | Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic, 163200"
ENSG00000139687,614041,"Bladder cancer, somatic, 109800 | Osteosarcoma, somatic, 259500 | Retinoblastoma, 180200 | Retinoblastoma, trilateral, 180200 | Small cell cancer of the lung, somatic, 182280"
ENSG00000167207,605956,"Blau syndrome, 186580 | Inflammatory bowel disease 1, Crohn disease, 266600 | Psoriatic arthritis, susceptibility to, 607507 | Yao syndrome, 617321"
ENSG00000088053,605546,"Bleeding disorder, platelet-type, 11, 614201"
ENSG00000006638,188070,"Bleeding disorder, platelet-type, 13, susceptibility to, 614009"
ENSG00000072110,102575,"Bleeding disorder, platelet-type, 15, 615193"
ENSG00000259207,173470,"Bleeding disorder, platelet-type, 16, autosomal dominant, 187800 | Glanzmann thrombasthenia, 273800 | Purpura, posttransfusion | Thrombocytopenia, neonatal alloimmune | Myocardial infarction, susceptibility to, 608446"
ENSG00000005961,607759,"Bleeding disorder, platelet-type, 16, autosomal dominant, 187800 | Glanzmann thrombasthenia, 273800 | Thrombocytopenia, neonatal alloimmune, BAK antigen related"
ENSG00000165702,604383,"Bleeding disorder, platelet-type, 17, 187900"
ENSG00000068831,605577,"Bleeding disorder, platelet-type, 18, 615888"
ENSG00000165059,176893,"Bleeding disorder, platelet-type, 19, 616176"
ENSG00000236320,614958,"Bleeding disorder, platelet-type, 20, 616913"
ENSG00000151702,193067,"Bleeding disorder, platelet-type, 21, 617443"
ENSG00000169313,600515,"Bleeding disorder, platelet-type, 8, 609821"
ENSG00000039068,192090,"Blepharocheilodontic syndrome 1, 119580 | Endometrial carcinoma, somatic, 608089 | Gastric cancer, familial diffuse, with or without cleft lip and/or palate, 137215 | Ovarian carcinoma, somatic, 167000 | Breast cancer, lobular, 114480 | Prostate cancer, susceptibility to, 176807"
ENSG00000198561,601045,"Blepharocheilodontic syndrome 2, 617681"
ENSG00000183770,605597,"Blepharophimosis, epicanthus inversus, and ptosis, type 1, 110100 | Blepharophimosis, epicanthus inversus, and ptosis, type 2, 110100 | Premature ovarian failure 3, 608996"
ENSG00000165272,600170,"Blood group GIL, 607457"
ENSG00000105610,600599,"Blood group--Lutheran inhibitor, 111150 | Dyserythropoietic anemia, congenital, type IV, 613673 | Hereditary persistence of fetal hemoglobin, 613566"
ENSG00000175164,110300,"Blood group, ABO system, 616093"
ENSG00000187244,612773,"Blood group, Auberger system, 111200 | Blood group, Lutheran null, 247420 | Blood group, Lutheran system, 111200"
ENSG00000111339,110600,"Blood group, Dombrock, 616060"
ENSG00000213088,613665,"Blood group, Duffy system, 110700 | White blood cell count QTL, 611862 | Malaria, vivax, protection against, 611162"
ENSG00000136732,110750,"Blood group, Gerbich, 616089 | Malaria, resistance to, 611162"
ENSG00000026508,107269,"Blood group, Indian system, 609027"
ENSG00000138623,607961,"Blood group, John-Milton-Hagen system, 614745"
ENSG00000197993,613883,"Blood group, Kell, 110900"
ENSG00000141469,613868,"Blood group, Kidd, 111000"
ENSG00000105371,614088,"Blood group, Landsteiner-Wiener, 111250"
ENSG00000171124,111100,"Blood group, Lewis"
ENSG00000170180,111300,"Blood group, MN | Malaria, resistance to, 611162"
ENSG00000172270,109480,"Blood group, OK, 111380"
ENSG00000169255,603094,"Blood group, P1PK system, P(k) phenotype, 111400 | Blood group, globoside system, 615021"
ENSG00000164010,609017,"Blood group, Radin, 111620 | Blood group, Scianna system, 111750"
ENSG00000250361,111740,"Blood group, Ss | Malaria, resistance to, 611162"
ENSG00000235169,615242,"Blood group, Vel system, 615264"
ENSG00000087085,100740,"Blood group, Yt system, 112100"
ENSG00000007908,131210,"Blood pressure regulation QTL, 145500"
ENSG00000143153,182330,"Blood pressure regulation QTL, 145500"
ENSG00000143248,603276,"Blood pressure regulation QTL, 145500"
ENSG00000197299,604610,"Bloom syndrome, 210900"
ENSG00000268221,300821,"Blue cone monochromacy, 303700 | Colorblindness, deutan, 303800"
ENSG00000102076,300822,"Blue cone monochromacy, 303700 | Colorblindness, protan, 303900"
ENSG00000171456,612990,"Bohring-Opitz syndrome, 605039 | Myelodysplastic syndrome, somatic, 614286"
ENSG00000176920,182100,"Bombay phenotype | Norwalk virus infection, resistance to | Vitamin B12 plasma level QTL1, 612542"
ENSG00000174951,211100,"Bombay phenotype, 616754"
ENSG00000174780,602122,"Bone marrow failure syndrome 1, 614675"
ENSG00000182150,615667,"Bone marrow failure syndrome 2, 615715"
ENSG00000168724,617048,"Bone marrow failure syndrome 3, 617052"
ENSG00000197888,601903,"Bone mineral density QTL 12, osteoporosis, 612560"
ENSG00000284547,613405,"Bone mineral density QTL 15, 613418"
ENSG00000102024,300131,"Bone mineral density QTL18, osteoporosis, 300910"
ENSG00000205213,606666,"Bone mineral density, low, susceptibility to, 615311"
ENSG00000156531,300414,"Borjeson-Forssman-Lehmann syndrome, 301900"
ENSG00000175745,132890,"Bosch-Boonstra-Schaaf optic atrophy syndrome, 615722"
ENSG00000101596,614982,"Bosma arhinia microphthalmia syndrome, 603457 | Fascioscapulohumeral muscular dystrophy 2, digenic, 158901"
ENSG00000140522,180090,"Bothnia retinal dystrophy, 607475 | Fundus albipunctatus, 136880 | Newfoundland rod-cone dystrophy, 607476 | Retinitis punctata albescens, 136880"
ENSG00000126749,611531,"Bowen-Conradi syndrome, 211180"
ENSG00000186468,603683,"Brachycephaly, trichomegaly, and developmental delay, 617412"
ENSG00000128714,142989,"Brachydactyly-syndactyly syndrome, 610713 | Brachydactyly, type D, 113200 | Brachydactyly, type E, 113300 | Syndactyly, type V, 186300 | Synpolydactyly 1, 186000"
ENSG00000125845,112261,"Brachydactyly, type A2, 112600 | HFE hemochromatosis, modifier of, 235200"
ENSG00000169071,602337,"Brachydactyly, type B1, 113000 | Robinow syndrome, autosomal recessive, 268310"
ENSG00000183691,602991,"Brachydactyly, type B2, 611377 | Multiple synostoses syndrome 1, 186500 | Stapes ankylosis with broad thumb and toes, 184460 | Symphalangism, proximal, 1A, 185800 | Tarsal-carpal coalition syndrome, 186570"
ENSG00000087494,168470,"Brachydactyly, type E2, 613382 | Humoral hypercalcemia of malignancy"
ENSG00000198682,603005,"Brachyolmia 4 with mild epiphyseal and metaphyseal changes, 612847"
ENSG00000108370,604067,"Bradyopsia, 608415"
ENSG00000186326,607814,"Bradyopsia, 608415"
ENSG00000162599,600727,"Brain malformations with or without urinary tract defects, 613735"
ENSG00000103507,614901,"Branched-chain ketoacid dehydrogenase kinase deficiency, 614923"
ENSG00000137203,107580,"Branchiooculofacial syndrome, 113620"
ENSG00000126778,601205,"Branchiootic syndrome 3, 608389 | Deafness, autosomal dominant 23, 605192"
ENSG00000177045,600963,"Branchiootorenal syndrome 2, 610896"
ENSG00000136492,605882,"Breast cancer, early-onset, 114480 | Fanconi anemia, complementation group J, 609054"
ENSG00000074319,601387,"Breast cancer, somatic, 114480"
ENSG00000023287,606837,"Breast cancer, somatic, 114480"
ENSG00000121879,171834,"Breast cancer, somatic, 114480 | CLOVE syndrome, somatic, 612918 | Colorectal cancer, somatic, 114500 | Cowden syndrome 5, 615108 | Gastric cancer, somatic, 613659 | Hepatocellular carcinoma, somatic, 114550 | Keratosis, seborrheic, somatic, 182000 | Megalencephaly-capillary malformation-polymicrogyria syndrome, somatic, 602501 | Nevus, epidermal, somatic, 162900 | Nonsmall cell lung cancer, somatic, 211980 | Ovarian cancer, somatic, 167000"
ENSG00000142208,164730,"Breast cancer, somatic, 114480 | Colorectal cancer, somatic, 114500 | Cowden syndrome 6, 615109 | Ovarian cancer, somatic, 167000 | Proteus syndrome, somatic, 176920 | Schizophrenia, susceptibility to, 181500"
ENSG00000170836,605100,"Breast cancer, somatic, 114480 | Intellectual developmental disorder with gastrointestinal difficulties and high pain threshold, 617450"
ENSG00000110628,602631,"Breast cancer, somatic, 114480 | Lung cancer, somatic, 211980 | Rhabdomyosarcoma, somatic, 268210"
ENSG00000167085,176705,"Breast cancer, susceptibility to, 114480"
ENSG00000072571,600936,"Breast cancer, susceptibility to, 114480"
ENSG00000138376,601593,"Breast cancer, susceptibility to, 114480"
ENSG00000126215,600675,"Breast cancer, susceptibility to, 114480 | Melanoma, cutaneous malignant, 6, 613972"
ENSG00000012048,113705,"Breast-ovarian cancer, familial, 1, 604370 | Pancreatic cancer, susceptibility to, 4, 614320"
ENSG00000185379,602954,"Breast-ovarian cancer, familial, susceptibility to, 4, 614291"
ENSG00000142949,179590,"Breasts and/or nipples, aplasia or hypoplasia of, 2, 616001"
ENSG00000225614,612078,"Brittle cornea syndrome 1, 229200"
ENSG00000138738,614161,"Brittle cornea syndrome 2, 614170"
ENSG00000196296,108730,"Brody myopathy, 601003"
ENSG00000168447,600760,"Bronchiectasis with or without elevated sweat chloride 1, 211400 | Liddle syndrome, 177200 | Pseudohypoaldosteronism, type I, 264350"
ENSG00000111319,600228,"Bronchiectasis with or without elevated sweat chloride 2, 613021 | Pseudohypoaldosteronism, type I, 264350"
ENSG00000166828,600761,"Bronchiectasis with or without elevated sweat chloride 3, 613071 | Liddle syndrome, 177200 | Pseudohypoaldosteronism, type I, 264350"
ENSG00000083799,605018,"Brooke-Spiegler syndrome, 605041 | Cylindromatosis, familial, 132700 | Trichoepithelioma, multiple familial, 1, 601606"
ENSG00000185803,607882,"Brown-Vialetto-Van Laere syndrome 2, 614707"
ENSG00000141756,607063,"Bruck syndrome 1, 259450 | Osteogenesis imperfecta, type XI, 610968"
ENSG00000152952,601865,"Bruck syndrome 2, 609220"
ENSG00000152642,611778,"Brugada syndrome 2, 611777"
ENSG00000151067,114205,"Brugada syndrome 3, 611875 | Timothy syndrome, 601005"
ENSG00000165995,600003,"Brugada syndrome 4, 611876"
ENSG00000175538,604433,"Brugada syndrome 6, 613119"
ENSG00000138622,605206,"Brugada syndrome 8, 613123 | Sick sinus syndrome 2, 163800"
ENSG00000171385,605411,"Brugada syndrome 9, 616399 | Spinocerebellar ataxia 19, 607346"
ENSG00000189221,309850,"Brunner syndrome, 300615 | Antisocial behavior, 300615"
ENSG00000136997,190080,"Burkitt lymphoma, 113970"
ENSG00000141759,611595,"Burn-McKeown syndrome, 608572"
ENSG00000018280,600266,"Buruli ulcer, susceptibility to, 610446 | Mycobacterium tuberculosis, susceptibility to infection by, 607948"
ENSG00000174106,607844,"Buschke-Ollendorff syndrome, 166700 | Osteopoikilosis with or without melorheostosis, 166700"
ENSG00000153283,606037,"C syndrome, 211750"
ENSG00000173372,120550,"C1q deficiency, 613652"
ENSG00000173369,120570,"C1q deficiency, 613652"
ENSG00000159189,120575,"C1q deficiency, 613652"
ENSG00000182326,120580,"C1s deficiency, 613783 | Ehlers-Danlos syndrome, periodontal type, 2, 617174"
ENSG00000166278,613927,"C2 deficiency, 217000 | Macular degeneration, age-related, 14, reduced risk of, 615489"
ENSG00000125730,120700,"C3 deficiency, 613779 | Hemolytic uremic syndrome, atypical, susceptibility to, 5, 612925 | Macular degeneration, age-related, 9, 611378"
ENSG00000204701,615016,"C3HEX, ability to smell, 615082"
ENSG00000244731,120810,"C4a deficiency, 614380 | Blood group, Rodgers, 614374"
ENSG00000224389,120820,"C4B deficiency, 614379"
ENSG00000106804,120900,"C5 deficiency, 609536 | Eculizumab, poor response to, 615749"
ENSG00000039537,217050,"C6 deficiency, 612446 | Combined C6/C7 deficiency"
ENSG00000112936,217070,"C7 deficiency, 610102"
ENSG00000157131,120950,"C8 deficiency, type I, 613790"
ENSG00000021852,120960,"C8 deficiency, type II, 613789"
ENSG00000113600,120940,"C9 deficiency, 613825 | Macular degeneration, age-related, 15, susceptibility to, 615591"
ENSG00000108821,120150,"Caffey disease, 114000 | Ehlers-Danlos syndrome, arthrochalasia type, 1, 130060 | Osteogenesis imperfecta, type I, 166200 | Osteogenesis imperfecta, type II, 166210 | Osteogenesis imperfecta, type III, 259420 | Osteogenesis imperfecta, type IV, 166220 | Bone mineral density variation QTL, osteoporosis, 166710"
ENSG00000135318,129190,"Calcification of joints and arteries, 211800"
ENSG00000116690,604283,"Camptodactyly-arthropathy-coxa vara-pericarditis syndrome, 208250"
ENSG00000205899,615416,"Camptosynpolydactyly, complex, 607539 | Syndactyly, mesoaxial synostotic, with phalangeal reduction, 609432"
ENSG00000105329,190180,"Camurati-Engelmann disease, 131300 | Cystic fibrosis lung disease, modifier of, 219700"
ENSG00000108381,608034,"Canavan disease, 271900"
ENSG00000160867,134935,Cancer progression/metastasis
ENSG00000187796,607212,"Candidiasis, familial, 2, autosomal recessive, 212050"
ENSG00000172243,606264,"Candidiasis, familial, 4, autosomal recessive, 613108 | Aspergillosis, susceptibility to, 614079"
ENSG00000112116,606496,"Candidiasis, familial, 6, autosomal dominant, 613956"
ENSG00000056972,607043,"Candidiasis, familial, 8, 615527 | Psoriasis susceptibility 13, 614070"
ENSG00000163702,610925,"Candidiasis, familial, 9, 616445"
ENSG00000143549,191030,"CAP myopathy 1, 609284 | Myopathy, congenital, with fiber-type disproportion, 255310 | Nemaline myopathy 1, autosomal dominant or recessive, 609284"
ENSG00000156052,600998,"Capillary malformations, congenital, 1, somatic, mosaic, 163000 | Sturge-Weber syndrome, somatic, mosaic, 185300"
ENSG00000166033,602194,"CARASIL syndrome, 600142 | Cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 2, 61 | Macular degeneration, age-related, 7, 610149 | Macular degeneration, age-related, neovascular type, 610149"
ENSG00000021826,608307,"Carbamoylphosphate synthetase I deficiency, 237300 | Pulmonary hypertension, neonatal, susceptibility to, 615371 | Venoocclusive disease after bone marrow transplantation"
ENSG00000198848,114835,Carboxylesterase 1 deficiency
ENSG00000120054,603103,"Carboxypeptidase N deficiency, 212070"
ENSG00000204370,602690,"Carcinoid tumors, intestinal, 114900 | Cowden syndrome 3, 615106 | Merkel cell carcinoma, somatic | Mitochondrial complex II deficiency, 252011 | Paraganglioma and gastric stromal sarcoma, 606864 | Paragangliomas 1, with or without deafness, 168000 | Pheochromocytoma, 171300"
ENSG00000145362,106410,"Cardiac arrhythmia, ankyrin-B-related, 600919 | Long QT syndrome 4, 600919"
ENSG00000108599,604694,"Cardiac conduction defect, susceptibility to, 115080"
ENSG00000116783,613932,"Cardiac conduction disease with or without dilated cardiomyopathy, 616117"
ENSG00000075651,602382,"Cardiac valvular defect, developmental, 212093"
ENSG00000196924,300017,"Cardiac valvular dysplasia, X-linked, 314400 | Congenital short bowel syndrome, 300048 | FG syndrome 2, 300321 | Frontometaphyseal dysplasia 1, 305620 | Heterotopia, periventricular, 300049 | Intestinal pseudoobstruction, neuronal, 300048 | Melnick-Needles syndrome, 309350 | Otopalatodigital syndrome, type I, 311300 | Otopalatodigital syndrome, type II, 304120 | Terminal osseous dysplasia, 300244"
ENSG00000130489,604272,"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 1, 604377 | Myopia 6, 608908"
ENSG00000014919,603646,"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2, 615119 | Leigh syndrome due to cytochrome c oxidase deficiency, 256000"
ENSG00000183513,613920,"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 3, 616500"
ENSG00000168275,614772,"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 4, 616501"
ENSG00000169032,176872,"Cardiofaciocutaneous syndrome 3, 615279"
ENSG00000126934,601263,"Cardiofaciocutaneous syndrome 4, 615280"
ENSG00000160789,150330,"Cardiomyopathy, dilated, 1A, 115200 | Charcot-Marie-Tooth disease, type 2B1, 605588 | Emery-Dreifuss muscular dystrophy 2, AD, 181350 | Emery-Dreifuss muscular dystrophy 3, AR, 616516 | Heart-hand syndrome, Slovenian type, 610140 | Hutchinson-Gilford progeria, 176670 | Lipodystrophy, familial partial, type 2, 151660 | Malouf syndrome, 212112 | Mandibuloacral dysplasia, 248370 | Muscular dystrophy, congenital, 613205 | Muscular dystrophy, limb-girdle, type 1B, 159001 | Restrictive dermopathy, let"
ENSG00000077522,102573,"Cardiomyopathy, dilated, 1AA, with or without LVNC, 612158 | Cardiomyopathy, hypertrophic, 23, with or without LVNC, 612158"
ENSG00000122367,605906,"Cardiomyopathy, dilated, 1C, with or without LVNC, 601493 | Cardiomyopathy, hypertrophic, 24, 601493 | Left ventricular noncompaction 3, 601493 | Myopathy, myofibrillar, 4, 609452"
ENSG00000162614,613121,"Cardiomyopathy, dilated, 1CC, 613122 | Cardiomyopathy, hypertrophic, 20, 613876"
ENSG00000118194,191045,"Cardiomyopathy, dilated, 1D, 601494 | Cardiomyopathy, familial restrictive, 3, 612422 | Cardiomyopathy, hypertrophic, 2, 115195 | Left ventricular noncompaction 6, 601494"
ENSG00000203867,613171,"Cardiomyopathy, dilated, 1DD, 613172"
ENSG00000155657,188840,"Cardiomyopathy, dilated, 1G, 604145 | Cardiomyopathy, familial hypertrophic, 9, 613765 | Muscular dystrophy, limb-girdle, type 2J, 608807 | Myopathy, proximal, with early respiratory muscle involvement, 603689 | Salih myopathy, 611705 | Tibial muscular dystrophy, tardive, 600334"
ENSG00000073578,600857,"Cardiomyopathy, dilated, 1GG, 613642 | Leigh syndrome, 256000 | Mitochondrial respiratory chain complex II deficiency, 252011 | Paragangliomas 5, 614165"
ENSG00000151929,603883,"Cardiomyopathy, dilated, 1HH, 613881 | Myopathy, myofibrillar, 6, 612954"
ENSG00000109846,123590,"Cardiomyopathy, dilated, 1II, 615184 | Cataract 16, multiple types, 613763 | Myopathy, myofibrillar, 2, 608810 | Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related, 613869"
ENSG00000112319,603550,"Cardiomyopathy, dilated, 1J, 605362 | Deafness, autosomal dominant 10, 601316"
ENSG00000112769,600133,"Cardiomyopathy, dilated, 1JJ, 615235"
ENSG00000138347,608517,"Cardiomyopathy, dilated, 1KK, 615248 | Cardiomyopathy, familial restrictive, 4, 615248 | Cardiomyopathy, hypertrophic, 22, 615248 | Nemaline myopathy 11, autosomal recessive, 617336"
ENSG00000170624,601411,"Cardiomyopathy, dilated, 1L, 606685 | Muscular dystrophy, limb-girdle, type 2F, 601287"
ENSG00000142611,605557,"Cardiomyopathy, dilated, 1LL, 615373 | Left ventricular noncompaction 8, 615373"
ENSG00000129170,600824,"Cardiomyopathy, dilated, 1M, 607482 | Cardiomyopathy, hypertrophic, 12, 612124"
ENSG00000134571,600958,"Cardiomyopathy, dilated, 1MM, 615396 | Cardiomyopathy, hypertrophic, 4, 115197 | Left ventricular noncompaction 10, 615396"
ENSG00000132155,164760,"Cardiomyopathy, dilated, 1NN, 615916 | LEOPARD syndrome 2, 611554 | Noonan syndrome 5, 611553"
ENSG00000198523,172405,"Cardiomyopathy, dilated, 1P, 609909 | Cardiomyopathy, hypertrophic, 18, 613874"
ENSG00000092054,160760,"Cardiomyopathy, dilated, 1S, 613426 | Cardiomyopathy, hypertrophic, 1, 192600 | Laing distal myopathy, 160500 | Left ventricular noncompaction 5, 613426 | Myopathy, myosin storage, autosomal dominant, 608358 | Myopathy, myosin storage, autosomal recessive, 255160 | Scapuloperoneal syndrome, myopathic type, 181430"
ENSG00000035403,193065,"Cardiomyopathy, dilated, 1W, 611407 | Cardiomyopathy, hypertrophic, 15, 613255"
ENSG00000106692,607440,"Cardiomyopathy, dilated, 1X, 611615 | Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4, 253800 | Muscular dystrophy-dystroglycanopathy (congenital without mental retardation), type B, 4, 613152 | Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4, 611588"
ENSG00000140416,191010,"Cardiomyopathy, dilated, 1Y, 611878 | Cardiomyopathy, hypertrophic, 3, 115196 | Left ventricular noncompaction 9, 611878"
ENSG00000114854,191040,"Cardiomyopathy, dilated, 1Z, 611879 | Cardiomyopathy, hypertrophic, 13, 613243"
ENSG00000129991,191044,"Cardiomyopathy, dilated, 2A, 611880 | Cardiomyopathy, dilated, 1FF, 613286 | Cardiomyopathy, familial restrictive, 1, 115210 | Cardiomyopathy, hypertrophic, 7, 613690"
ENSG00000157259,614518,"Cardiomyopathy, dilated, 2B, 614672"
ENSG00000182533,601253,"Cardiomyopathy, familial hypertrophic, 192600 | Creatine phosphokinase, elevated serum, 123320 | Long QT syndrome 9, 611818 | Muscular dystrophy, limb-girdle, type IC, 607801 | Myopathy, distal, Tateyama type, 614321 | Rippling muscle disease, 606072"
ENSG00000128591,102565,"Cardiomyopathy, familial hypertrophic, 26 | Cardiomyopathy, familial restrictive 5, 617047 | Myopathy, distal, 4, 614065 | Myopathy, myofibrillar, 5, 609524"
ENSG00000106617,602743,"Cardiomyopathy, hypertrophic 6, 600858 | Glycogen storage disease of heart, lethal congenital, 261740 | Wolff-Parkinson-White syndrome, 194200"
ENSG00000101306,606566,"Cardiomyopathy, hypertrophic, 1, digenic, 192600"
ENSG00000111245,160781,"Cardiomyopathy, hypertrophic, 10, 608758"
ENSG00000172399,605602,"Cardiomyopathy, hypertrophic, 16, 613838"
ENSG00000149596,605267,"Cardiomyopathy, hypertrophic, 17, 613873"
ENSG00000269058,611414,"Cardiomyopathy, hypertrophic, 19, 613875"
ENSG00000173991,604488,"Cardiomyopathy, hypertrophic, 25, 607487 | Muscular dystrophy, limb-girdle, type 2G, 601954"
ENSG00000160808,160790,"Cardiomyopathy, hypertrophic, 8, 608751"
ENSG00000135341,602614,"Cardiospondylocarpofacial syndrome, 157800 | Frontometaphyseal dysplasia 2, 617137"
ENSG00000187616,615345,"Carey-Fineman-Ziter syndrome, 254940"
